src,dst,protocol,length
192.168.1.101,183.2.172.17,6,54
183.61.177.232,192.168.1.101,6,1502
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1254
192.168.1.101,183.61.177.232,6,54
192.168.1.101,183.61.177.232,6,118
192.168.1.101,183.61.177.232,6,164
192.168.1.101,183.61.177.232,6,266
183.61.177.232,192.168.1.101,6,60
183.61.177.232,192.168.1.101,6,66
183.61.177.232,192.168.1.101,6,60
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1258
183.61.177.232,192.168.1.101,6,407
192.168.1.101,183.61.177.232,6,54
192.168.1.101,183.61.177.232,6,202
183.61.177.232,192.168.1.101,6,60
192.168.1.101,183.2.172.17,6,66
183.2.172.17,192.168.1.101,6,66
192.168.1.1,239.255.255.250,17,318
192.168.1.101,183.2.172.17,6,54
192.168.1.101,183.2.172.17,6,54
192.168.1.1,239.255.255.250,17,327
192.168.1.1,239.255.255.250,17,390
192.168.1.1,239.255.255.250,17,327
192.168.1.1,239.255.255.250,17,366
192.168.1.1,239.255.255.250,17,327
192.168.1.1,239.255.255.250,17,386
192.168.1.1,239.255.255.250,17,382
192.168.1.1,239.255.255.250,17,398
192.168.1.1,239.255.255.250,17,380
183.61.177.232,192.168.1.101,6,334
192.168.1.101,183.61.177.232,6,325
183.61.177.232,192.168.1.101,6,60
183.61.177.232,192.168.1.101,6,1472
192.168.1.101,183.61.177.232,6,107
192.168.1.101,183.61.177.232,6,78
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,107
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,78
183.61.177.232,192.168.1.101,6,60
183.61.177.232,192.168.1.101,6,60
183.61.177.232,192.168.1.101,6,60
192.168.1.101,192.168.88.1,17,87
192.168.88.1,192.168.1.101,17,554
192.168.1.101,183.61.177.232,6,66
183.61.177.232,192.168.1.101,6,66
192.168.1.101,183.61.177.232,6,54
192.168.1.101,183.61.177.232,6,345
192.168.1.101,183.2.172.17,6,54
183.61.177.232,192.168.1.101,6,60
192.168.1.101,183.2.150.98,6,55
183.2.150.98,192.168.1.101,6,66
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1258
192.168.1.101,183.61.177.232,6,66
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
192.168.1.101,183.61.177.232,6,118
192.168.1.101,183.61.177.232,6,168
192.168.1.101,183.61.177.232,6,270
183.61.177.232,192.168.1.101,6,60
183.61.177.232,192.168.1.101,6,60
183.61.177.232,192.168.1.101,6,60
192.168.1.101,183.2.172.17,6,54
0.0.0.0,255.255.255.255,17,590
192.168.1.101,192.168.88.1,17,81
192.168.88.1,192.168.1.101,17,362
192.168.1.101,72.25.64.32,6,66
72.25.64.32,192.168.1.101,6,66
192.168.1.101,72.25.64.32,6,54
192.168.1.101,72.25.64.32,6,260
72.25.64.32,192.168.1.101,6,513
192.168.1.101,72.25.64.32,6,66
72.25.64.32,192.168.1.101,6,1494
192.168.1.101,72.25.64.32,6,66
72.25.64.32,192.168.1.101,6,1494
192.168.1.101,72.25.64.32,6,54
72.25.64.32,192.168.1.101,6,396
192.168.1.101,72.25.64.32,6,236
72.25.64.32,192.168.1.101,6,60
72.25.64.32,192.168.1.101,6,60
72.25.64.32,192.168.1.101,6,155
192.168.1.101,72.25.64.32,6,54
192.168.1.101,72.25.64.32,6,427
192.168.1.101,72.25.64.32,6,763
72.25.64.32,192.168.1.101,6,60
72.25.64.32,192.168.1.101,6,60
72.25.64.32,192.168.1.101,6,443
192.168.1.101,72.25.64.32,6,139
192.168.1.101,72.25.64.32,6,54
192.168.1.101,183.2.172.17,6,54
72.25.64.32,192.168.1.101,6,66
72.25.64.32,192.168.1.101,6,60
72.25.64.32,192.168.1.101,6,139
192.168.1.101,72.25.64.32,6,54
183.61.177.232,192.168.1.101,6,1446
183.61.177.232,192.168.1.101,6,1502
183.61.177.232,192.168.1.101,6,76
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,527
192.168.1.101,183.61.177.232,6,66
183.61.177.232,192.168.1.101,6,1502
192.168.1.101,183.61.177.232,6,54
192.168.1.101,183.61.177.232,6,202
183.61.177.232,192.168.1.101,6,60
183.61.177.232,192.168.1.101,6,350
192.168.1.101,183.61.177.232,6,234
183.61.177.232,192.168.1.101,6,60
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,992
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1502
183.61.177.232,192.168.1.101,6,1502
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1502
183.61.177.232,192.168.1.101,6,1502
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1502
183.61.177.232,192.168.1.101,6,1502
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,66
183.61.177.232,192.168.1.101,6,1506
192.168.1.101,192.168.88.1,17,87
192.168.1.101,183.61.177.232,6,54
192.168.88.1,192.168.1.101,17,528
192.168.1.101,3.115.187.38,6,66
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
3.115.187.38,192.168.1.101,6,66
192.168.1.101,3.115.187.38,6,54
192.168.1.101,3.115.187.38,6,266
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,66
183.61.177.232,192.168.1.101,6,1506
192.168.1.101,183.61.177.232,6,66
183.61.177.232,192.168.1.101,6,1506
192.168.1.101,183.61.177.232,6,66
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
3.115.187.38,192.168.1.101,6,60
3.115.187.38,192.168.1.101,6,1506
3.115.187.38,192.168.1.101,6,1506
192.168.1.101,3.115.187.38,6,54
3.115.187.38,192.168.1.101,6,1388
192.168.1.101,3.115.187.38,6,147
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,66
183.61.177.232,192.168.1.101,6,1506
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,66
183.61.177.232,192.168.1.101,6,1506
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
3.115.187.38,192.168.1.101,6,60
3.115.187.38,192.168.1.101,6,258
3.115.187.38,192.168.1.101,6,123
192.168.1.101,3.115.187.38,6,54
192.168.1.101,3.115.187.38,6,141
192.168.1.101,3.115.187.38,6,180
192.168.1.101,3.115.187.38,6,92
192.168.1.101,3.115.187.38,6,1193
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
192.168.1.101,183.2.172.17,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,66
183.61.177.232,192.168.1.101,6,1506
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,66
183.61.177.232,192.168.1.101,6,1506
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
192.168.1.101,183.61.177.232,6,66
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1506
192.168.1.101,183.61.177.232,6,54
3.115.187.38,192.168.1.101,6,60
3.115.187.38,192.168.1.101,6,92
183.61.177.232,192.168.1.101,6,1490
192.168.1.101,183.61.177.232,6,66
183.61.177.232,192.168.1.101,6,1506
192.168.1.101,183.61.177.232,6,54
3.115.187.38,192.168.1.101,6,304
3.115.187.38,192.168.1.101,6,92
192.168.1.101,3.115.187.38,6,54
192.168.1.101,3.115.187.38,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,66
183.61.177.232,192.168.1.101,6,1506
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1502
183.61.177.232,192.168.1.101,6,1502
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1502
183.61.177.232,192.168.1.101,6,1502
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,66
183.61.177.232,192.168.1.101,6,1506
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1502
183.61.177.232,192.168.1.101,6,1502
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1502
192.168.1.101,183.61.177.232,6,66
183.61.177.232,192.168.1.101,6,1502
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
3.115.187.38,192.168.1.101,6,85
192.168.1.101,3.115.187.38,6,54
192.168.1.101,183.61.177.232,6,54
3.115.187.38,192.168.1.101,6,60
183.61.177.232,192.168.1.101,6,1502
192.168.1.101,183.61.177.232,6,66
183.61.177.232,192.168.1.101,6,1502
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1502
183.61.177.232,192.168.1.101,6,1502
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1502
183.61.177.232,192.168.1.101,6,1502
192.168.1.101,183.61.177.232,6,54
183.61.177.232,192.168.1.101,6,1506
183.61.177.232,192.168.1.101,6,1498
192.168.1.101,183.61.177.232,6,54
192.168.1.101,183.61.177.232,6,55
183.61.177.232,192.168.1.101,6,1498
